iter	Passed	Remaining
0	1	154
1	2	137
2	3	120
3	4	107
4	5	103
5	6	107
6	7	104
7	8	101
8	9	98
9	10	95
10	11	92
11	12	90
12	13	89
13	14	88
14	16	93
15	17	92
16	18	90
17	20	91
18	21	89
19	22	88
20	22	86
21	23	84
22	24	82
23	25	81
24	26	80
25	27	78
26	28	77
27	29	75
28	30	74
29	31	74
30	32	73
31	33	72
32	34	71
33	35	69
34	36	68
35	37	67
36	38	65
37	40	65
38	41	64
39	42	63
40	42	61
41	43	59
42	44	58
43	45	57
44	46	57
45	47	56
46	49	55
47	50	54
48	51	53
49	51	51
50	53	51
51	54	50
52	55	48
53	56	47
54	56	46
55	57	44
56	58	43
57	59	43
58	60	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	75	29
72	76	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	99	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	106	0
